CMDLINE /home/tiziano/code/AI/.venv/bin/python neat.py
MEM 961.968750 1700433604.5611
MEM 970.218750 1700433604.6615
MEM 978.468750 1700433604.7618
MEM 986.718750 1700433604.8620
MEM 994.453125 1700433604.9623
MEM 1001.156250 1700433605.0626
MEM 1008.632812 1700433605.1629
MEM 1016.109375 1700433605.2632
MEM 1024.875000 1700433605.3635
MEM 1032.609375 1700433605.4638
MEM 1039.828125 1700433605.5641
MEM 1047.562500 1700433605.6644
MEM 1048.335938 1700433605.7647
MEM 1053.492188 1700433605.8650
MEM 1060.710938 1700433605.9653
MEM 1067.671875 1700433606.0656
MEM 1074.890625 1700433606.1659
MEM 1082.367188 1700433606.2661
MEM 1089.585938 1700433606.3664
MEM 1097.320312 1700433606.4667
MEM 1104.796875 1700433606.5670
MEM 1112.015625 1700433606.6672
MEM 1120.007812 1700433606.7675
MEM 1128.257812 1700433606.8678
MEM 1136.765625 1700433606.9681
MEM 1144.757812 1700433607.0685
MEM 1153.265625 1700433607.1688
MEM 1160.226562 1700433607.2690
MEM 1167.703125 1700433607.3693
MEM 1175.695312 1700433607.4696
MEM 1184.203125 1700433607.5699
MEM 1191.679688 1700433607.6702
MEM 1199.156250 1700433607.7705
MEM 1206.632812 1700433607.8708
MEM 1214.367188 1700433607.9712
MEM 1221.328125 1700433608.0715
MEM 1228.804688 1700433608.1717
MEM 1236.281250 1700433608.2720
MEM 1243.757812 1700433608.3723
MEM 1251.234375 1700433608.4726
MEM 1258.710938 1700433608.5729
MEM 1265.929688 1700433608.6732
MEM 1273.406250 1700433608.7735
MEM 1280.882812 1700433608.8738
MEM 1288.617188 1700433608.9741
MEM 1297.191406 1700433609.0744
MEM 1305.699219 1700433609.1748
MEM 1313.949219 1700433609.2750
MEM 1322.199219 1700433609.3753
MEM 1324.519531 1700433609.4756
MEM 1329.160156 1700433609.5758
MEM 1336.378906 1700433609.6761
MEM 1343.597656 1700433609.7764
MEM 1351.332031 1700433609.8767
MEM 1358.550781 1700433609.9770
MEM 1365.511719 1700433610.0773
MEM 1372.472656 1700433610.1776
MEM 1379.949219 1700433610.2779
MEM 1387.425781 1700433610.3782
MEM 1394.902344 1700433610.4785
MEM 1402.378906 1700433610.5788
MEM 1410.113281 1700433610.6791
MEM 1417.332031 1700433610.7793
MEM 1424.035156 1700433610.8796
MEM 1431.253906 1700433610.9799
MEM 1438.730469 1700433611.0802
MEM 1446.207031 1700433611.1805
MEM 1453.683594 1700433611.2808
MEM 1460.644531 1700433611.3811
MEM 1467.605469 1700433611.4814
MEM 1473.792969 1700433611.5817
MEM 1481.011719 1700433611.6820
MEM 1488.488281 1700433611.7823
MEM 1495.964844 1700433611.8826
MEM 1502.925781 1700433611.9829
MEM 1510.660156 1700433612.0832
MEM 1517.621094 1700433612.1834
MEM 1525.097656 1700433612.2837
MEM 1532.316406 1700433612.3840
MEM 1539.792969 1700433612.4843
MEM 1547.269531 1700433612.5846
MEM 1554.488281 1700433612.6849
MEM 1560.933594 1700433612.7852
MEM 1568.410156 1700433612.8855
MEM 1575.113281 1700433612.9857
MEM 1582.589844 1700433613.0860
MEM 1590.066406 1700433613.1863
MEM 1597.800781 1700433613.2866
MEM 1605.535156 1700433613.3868
MEM 1612.753906 1700433613.4871
MEM 1620.230469 1700433613.5874
MEM 1627.964844 1700433613.6877
MEM 1635.441406 1700433613.7880
MEM 1635.441406 1700433613.8883
MEM 1640.082031 1700433613.9886
MEM 1647.300781 1700433614.0889
MEM 1654.519531 1700433614.1891
MEM 1661.738281 1700433614.2894
MEM 1668.957031 1700433614.3897
MEM 1675.917969 1700433614.4900
MEM 1683.394531 1700433614.5903
MEM 1691.128906 1700433614.6906
MEM 1698.605469 1700433614.7909
MEM 1706.082031 1700433614.8912
MEM 1713.558594 1700433614.9915
MEM 1720.777344 1700433615.0917
MEM 1728.253906 1700433615.1920
MEM 1735.730469 1700433615.2923
MEM 1743.464844 1700433615.3926
MEM 1750.941406 1700433615.4928
MEM 1757.902344 1700433615.5932
MEM 1765.378906 1700433615.6935
MEM 1772.597656 1700433615.7937
MEM 1780.332031 1700433615.8940
MEM 1788.066406 1700433615.9943
MEM 1795.542969 1700433616.0946
MEM 1803.019531 1700433616.1949
MEM 1810.496094 1700433616.2952
MEM 1817.972656 1700433616.3954
MEM 1825.449219 1700433616.4957
MEM 1832.925781 1700433616.5961
MEM 1840.402344 1700433616.6964
MEM 1847.878906 1700433616.7967
MEM 1855.613281 1700433616.8970
MEM 1856.152344 1700433616.9973
MEM 1856.152344 1700433617.0976
MEM 1856.152344 1700433617.1979
MEM 0.000000 1700433617.2982
